theta0,phi0,mtheta0,mphi0,omega_theta,omega_phi,drift_theta,drift_phi
0.0,0.14471975511965973,0.6032526233700509,1.3748873807736592,2.2355202958237315,4.354967981837541,6.638146703219365e-10,1.610891404740217e-07
0.0,0.16839969389957468,0.0,4.33685778374941,0.0,2.176827527666919,0.0,5.765562924230964e-10
0.0,0.16839969389957468,0.03634392984485362,4.331433319107738,2.18032844561138,4.353660299377113,1.7336358391134597e-07,1.7350834218981272e-07
0.0,0.16839969389957468,0.07268785968970724,4.315119011348721,2.1838328069560777,4.353674580547142,3.415714184036037e-09,1.6703881728172095e-07
0.0,0.16839969389957468,0.10903178953456087,4.287790560317436,2.187342626187798,4.353698339321417,1.0685559193093043e-09,1.7497018621431318e-07
0.0,0.16839969389957468,0.1453757193794145,4.249235462881426,2.190857019780421,4.3537316235547,1.5417973772177387e-07,1.7473532953912274e-07
0.0,0.16839969389957468,0.1817196492242681,4.199144492832868,2.1943760263346,4.353774415938151,7.858870165891023e-12,1.7468295107495062e-07
0.0,0.16839969389957468,0.21806357906912174,4.137098650888777,2.1978997182382938,4.353827339970329,1.9310356681916065e-10,3.1834215436241184e-07
0.0,0.16839969389957468,0.25440750891397534,4.062550226828036,2.2014279693360703,4.3538882295669605,5.751999773149225e-10,1.085495401268853e-07
0.0,0.16839969389957468,0.290751438758829,3.974795814458019,2.2049607575537453,4.353958952107032,2.2583012924741427e-10,2.49812502698322e-08
0.0,0.16839969389957468,0.3270953686036826,3.872937839752028,2.2084981069970295,4.3540406241325575,6.448629266897178e-10,1.739332496778315e-07
0.0,0.16839969389957468,0.3634392984485362,3.7558290133272685,2.2120411980556707,4.354130923400074,4.555395437397616e-07,1.7382061179818667e-07
0.0,0.16839969389957468,0.3997832282933898,3.621990332253293,2.2155861109616923,4.354230715077392,1.7228448277336808e-10,1.7346543846227802e-07
0.0,0.16839969389957468,0.4361271581382435,3.469486226999528,2.219138446322707,4.354339998598613,7.361021900951632e-07,6.082247366197788e-07
0.0,0.16839969389957468,0.47247108798309706,3.2957265837080874,2.2226918610054254,4.354458768457721,1.1433147723445807e-07,6.098243368031191e-07
0.0,0.16839969389957468,0.5088150178279507,3.0971359467415374,2.2262512878568566,4.354587021496807,6.985796006291685e-11,6.119568029883061e-07
0.0,0.16839969389957468,0.5451589476728043,2.8685617918139195,2.2298139335404725,4.354728150621574,1.6666247215964944e-07,1.6602692334292102e-07
0.0,0.16839969389957468,0.581502877517658,2.602114670249646,2.233382985736041,4.354875357635993,1.1686451482101296e-09,1.6299093730354438e-07
0.0,0.16839969389957468,0.6178468073625116,2.284581599247404,2.236955360436941,4.355032034538349,5.48746000627873e-10,1.6002692926609033e-07
0.0,0.16839969389957468,0.6541907372073652,1.8903924811871455,2.2405319053068276,4.355198181372113,1.5808835403047977e-09,1.544079059984041e-07
0.0,0.16839969389957468,0.6905346670522188,1.3541834089426799,2.2441130306426484,4.355373788608689,1.56810558042875e-07,7.661837859215422e-08
0.0,0.19207963267948963,0.0,4.259349356832799,0.0,2.1768275276849556,0.0,5.570029865794521e-10
0.0,0.19207963267948963,0.04065563724173556,4.254021838354041,2.1807431191316207,4.353661497271945,1.7365393959116078e-07,1.730280946848222e-07
0.0,0.19207963267948963,0.08131127448347111,4.237999100296797,2.184665149953615,4.353679365335046,9.638866435752207e-09,1.6481396174510418e-07
0.0,0.19207963267948963,0.12196691172520667,4.211159064001508,2.188592931015523,4.353709105572844,6.908296868719319e-09,1.6823578272810815e-07
0.0,0.19207963267948963,0.16262254896694223,4.173293024196827,2.192524737410014,4.353750746114027,5.253701076751136e-07,1.7470263089701068e-07
0.0,0.19207963267948963,0.20327818620867777,4.124097281173176,2.1964656604545887,4.353804293945524,1.89521091208325e-09,1.7325723287314157e-07
0.0,0.19207963267948963,0.24393382345041334,4.063160324012861,2.2004100111093723,4.353868694024165,3.2417054017980966e-07,6.430438819974105e-08
0.0,0.19207963267948963,0.2845894606921489,3.98994423118505,2.2043612719447436,4.353945693200629,4.117406647507741e-07,1.39351011510061e-07
0.0,0.19207963267948963,0.32524509793388445,3.903758167789555,2.208317911228256,4.354036280623645,6.537880082684163e-10,1.7400222013433625e-07
0.0,0.19207963267948963,0.36590073517562,3.803720601264333,2.212279888896963,4.354137382608199,2.6318170643372387e-09,1.7360905900503509e-07
0.0,0.19207963267948963,0.40655637241735554,3.6887047466101137,2.216247498002907,4.354250363405575,5.2172831487974e-10,1.7244730032087896e-07
0.0,0.19207963267948963,0.4472120096590911,3.557258033672495,2.2202206351872578,4.354375218926725,1.0302917926151568e-09,6.090805817045209e-07
0.0,0.19207963267948963,0.4878676469008267,3.407479485466239,2.224198594013755,4.354511943388739,2.44891092053626e-07,6.108774789634342e-07
0.0,0.19207963267948963,0.5285232841425622,3.236825278710803,2.228183282673987,4.354660533004255,9.018235595926357e-11,6.134773502847039e-07
0.0,0.19207963267948963,0.5691789213842978,3.041783858398145,2.232173304531064,4.35482437883803,1.5863740015216281e-07,1.643177038432642e-07
0.0,0.19207963267948963,0.6098345586260333,2.817294786280625,2.2361673997129574,4.354996680650935,7.398935562121043e-10,1.6059966709265006e-07
0.0,0.19207963267948963,0.6504901958677689,2.5556096140996796,2.240167555701418,4.355180831308932,1.3094477769690916e-09,1.5564828616228947e-07
